File Name,Array Size,Actual Comparisons,Estimated Theoretical Comparisons,Sorting Time (ms)
CSCO.csv,8463,134827,135206,0.299833
UAL.csv,4437,65813,64915,0.145334
TROW.csv,9445,147725,152879,0.349416
ISRG.csv,5853,93345,89046,0.200083
NVR.csv,9620,148996,155836,0.322792
TPR.csv,5775,95654,88326,0.187042
DVN.csv,9620,212560,156836,0.443084
CE.csv,4699,84411,69241,0.155333
MRO.csv,15537,353861,267723,0.679791
BA.csv,15537,258589,267577,0.5395
VRTX.csv,8102,128957,128433,0.262125
GILD.csv,7976,165521,126167,0.280791
EQIX.csv,5814,101646,88877,0.19175
TER.csv,12758,232416,213640,0.429083
PODD.csv,4118,60990,60137,0.128584
MDT.csv,12709,207931,213679,0.449041
V.csv,3905,65885,56006,0.122208
QRVO.csv,2195,32005,29335,0.065958
A.csv,5998,102091,91531,0.200708
FOX.csv,1141,14037,13628,0.032709
FLT.csv,3213,51208,44839,0.096916
MO.csv,15537,283925,266163,0.551875
CTRA.csv,8469,141219,134887,0.285167
SWKS.csv,9839,186576,159871,0.332916
ENPH.csv,2888,52515,39762,0.094667
MCHP.csv,7683,131389,121187,0.263125
CDNS.csv,9144,172324,147910,0.320292
MSCI.csv,3989,69094,57562,0.1255
CHTR.csv,3452,55258,48988,0.107375
EIX.csv,12708,225486,211957,0.45025
KDP.csv,3871,61601,55710,0.124
BBY.csv,9685,165337,156744,0.337833
GEN.csv,8628,158688,137192,0.295208
WBA.csv,10972,178000,180846,0.36675
LVS.csv,4724,67874,69774,0.146291
HCA.csv,3155,51827,43971,0.098458
AJG.csv,9894,175202,160662,0.359708
DTE.csv,15537,287579,268348,0.524667
C.csv,11781,268477,196128,0.483709
T.csv,10040,199017,163989,0.350042
CF.csv,4559,69123,67090,0.145292
MGM.csv,8918,151758,142637,0.280667
HUM.csv,10519,169149,171305,0.36
CBOE.csv,3341,49399,46972,0.102625
CFG.csv,2264,33887,30088,0.075791
APH.csv,8026,137256,127249,0.272791
SYY.csv,12705,222363,213401,0.429375
MSI.csv,15537,279585,266118,0.527
FCX.csv,7101,124890,110929,0.227834
ADM.csv,10972,186749,180662,0.379292
OGN.csv,593,7257,6366,0.014875
LH.csv,8435,141162,134373,0.280708
LNT.csv,12758,264392,212749,0.432125
BAC.csv,12758,263091,214296,0.470958
PSX.csv,2880,42762,39703,0.086
GPN.csv,5707,89493,86227,0.185792
PPG.csv,10972,189079,180976,0.375625
TECH.csv,8721,140106,140217,0.294709
IRM.csv,6957,119844,109195,0.234792
IQV.csv,2611,33925,35489,0.076667
ESS.csv,7376,128665,115852,0.25
WBD.csv,4583,72042,67373,0.141583
HAL.csv,12938,207964,217157,0.446541
STZ.csv,7938,135881,125152,0.267875
DXC.csv,10519,179480,172320,0.355208
BG.csv,5569,85251,83782,0.17675
PARA.csv,4479,63837,66155,0.136833
ADI.csv,10972,198481,181137,0.370959
F.csv,12938,262282,216909,0.471959
ADBE.csv,9352,161874,151548,0.34225
STLD.csv,6751,114987,104539,0.227667
CPRT.csv,7431,117165,116517,0.254625
TDG.csv,4411,68171,64638,0.13775
TFX.csv,10972,186746,180616,0.358708
ULTA.csv,4004,60568,57964,0.123916
ARE.csv,6624,115261,102828,0.221166
SYK.csv,10972,183883,180997,0.384042
KVUE.csv,97,635,681,0.001458
CB.csv,7679,125035,121124,0.253667
TSN.csv,10972,195084,180279,0.367166
GNRC.csv,3426,50227,48414,0.101167
PEP.csv,12938,210544,217951,0.4775
PEG.csv,11024,186793,181283,0.390833
NOW.csv,2825,46098,38865,0.085416
LLY.csv,12938,218067,218298,0.446
COST.csv,9377,170372,152060,0.32625
REG.csv,7527,137600,118136,0.310292
NWS.csv,2583,33065,35151,0.075333
LOW.csv,10972,179066,179579,0.3725
MDLZ.csv,5604,97103,84767,0.1795
BKNG.csv,6160,110678,93555,0.204584
ZBRA.csv,8086,125351,128935,0.273417
FMC.csv,10972,178381,180534,0.381
XEL.csv,12758,242718,214595,0.438458
AIZ.csv,4941,80253,73552,0.155625
MET.csv,5903,99037,90131,0.189333
FTV.csv,1817,25780,23398,0.052833
DLR.csv,4756,70790,70370,0.149542
ACGL.csv,7054,109604,110419,0.226042
XRAY.csv,9100,164738,146943,0.309875
FAST.csv,9094,150669,146740,0.307541
TJX.csv,9132,148773,147584,0.311958
SNA.csv,12758,212327,213804,0.431042
MPC.csv,3081,47243,43112,0.094708
BR.csv,4155,66374,60294,0.132417
D.csv,10972,195358,180969,0.37475
MRK.csv,15537,269049,266791,0.521917
STX.csv,5230,87897,78207,0.170916
NOC.csv,10519,171178,172028,0.354542
BXP.csv,6609,105029,102126,0.208042
KHC.csv,2069,30044,26990,0.057916
IPG.csv,10972,210173,179661,0.364875
ABNB.csv,699,7450,7700,0.018417
UNP.csv,11024,190232,181205,0.37625
ALLE.csv,2477,36680,33546,0.074708
ABBV.csv,2699,42663,36383,0.082125
CDAY.csv,1361,15773,16811,0.036541
ORCL.csv,9459,172667,152859,0.319333
ECL.csv,12758,205567,214088,0.434542
ETR.csv,12938,229820,217824,0.44375
EBAY.csv,6289,118757,96101,0.208459
SBUX.csv,7867,125883,124162,0.269
IR.csv,1601,20858,20273,0.042208
AMT.csv,6434,105307,99034,0.211208
INTU.csv,7688,138649,121863,0.260459
DPZ.csv,4833,77858,71750,0.155208
PAYC.csv,2376,34223,31801,0.067459
CMA.csv,10972,186518,181277,0.365875
PG.csv,15537,288137,267794,0.520875
CAT.csv,15537,295321,266658,0.537958
ODFL.csv,8037,144696,127908,0.253167
MCD.csv,14402,240137,245163,0.522916
MNST.csv,9523,165391,153771,0.295667
AMZN.csv,6632,111518,102367,0.255958
GEHC.csv,192,1659,1649,0.004042
EG.csv,7041,110763,109307,0.240875
INTC.csv,10972,174677,180593,0.382
PNR.csv,12708,226298,212033,0.4205
GLW.csv,10519,211099,171690,0.370833
BDX.csv,12758,216955,214674,0.445333
KMI.csv,3173,54096,44575,0.097333
CSGP.csv,6348,93649,97273,0.202625
PWR.csv,6444,103001,98613,0.203375
APTV.csv,2979,44695,41474,0.090333
BBWI.csv,10456,167961,170474,0.353375
DXCM.csv,4642,73391,68479,0.144
EXR.csv,4809,68892,71564,0.164709
WELL.csv,10970,273339,182186,0.496958
HOLX.csv,8455,131536,134919,0.277292
EXPD.csv,9826,181617,160235,0.344042
GM.csv,3231,47654,45306,0.099333
TXN.csv,12938,232887,218121,0.450916
VRSK.csv,3513,49785,50149,0.110958
FI.csv,9322,150020,151182,0.309334
SJM.csv,7274,123964,113853,0.241375
TMO.csv,10972,202588,181698,0.377584
OXY.csv,10519,182677,171892,0.354916
RL.csv,6613,118246,102269,0.214084
CCI.csv,6315,95951,96461,0.211583
MMM.csv,15537,268724,266844,0.530041
MOS.csv,8985,168164,145174,0.3075
FTNT.csv,3483,57953,49353,0.108291
HSY.csv,10972,182558,181347,0.378916
JNPR.csv,6100,98001,93092,0.199375
DHI.csv,7882,126538,124535,0.252375
ED.csv,15537,274677,266523,0.533708
ES.csv,12758,259186,213466,0.473333
ADSK.csv,9635,169611,156151,0.337208
GL.csv,10834,181258,179757,0.373833
INVH.csv,1671,25754,21150,0.054625
IP.csv,15537,300073,267749,0.577166
EXPE.csv,4574,70763,67186,0.146542
KO.csv,15537,268825,266182,0.5285
PCAR.csv,10972,183213,180603,0.374833
RVTY.csv,12758,228333,213814,0.442666
WDC.csv,11319,212048,188503,0.404333
PYPL.csv,2069,26438,27137,0.061708
NEE.csv,12758,209215,214076,0.440917
UPS.csv,6004,96453,91147,0.194292
ELV.csv,5511,83943,83444,0.177459
EMR.csv,12938,230541,216453,0.445958
MSFT.csv,9458,154839,153024,0.3235
ANSS.csv,6860,120736,106536,0.249583
CTAS.csv,10105,165782,164942,0.331375
BIO.csv,10985,182631,181315,0.346167
UDR.csv,10972,213832,181396,0.361583
CTLT.csv,2302,33076,30709,0.066584
WEC.csv,10972,192727,180785,0.378
AME.csv,9874,172800,160897,0.337209
IT.csv,7545,130067,118457,0.255625
DD.csv,12938,223393,217546,0.430541
ACN.csv,5579,93052,84912,0.187958
VRSN.csv,6453,110376,99057,0.206791
EW.csv,5910,99860,89550,0.193833
CMG.csv,4444,74840,65353,0.13975
AWK.csv,3881,59387,55733,0.1245
COO.csv,10251,163506,167110,0.345375
SHW.csv,10972,182869,181344,0.379458
HPQ.csv,15537,296093,266381,0.532375
AMAT.csv,10972,188360,180738,0.372292
CCL.csv,9113,179861,147688,0.323125
MLM.csv,7450,119126,116670,0.239666
AVY.csv,12758,224958,215020,0.461166
ATVI.csv,7531,128213,118683,0.251333
EVRG.csv,12758,254959,213733,0.434625
EA.csv,8567,149677,137101,0.318625
DE.csv,12938,211490,217901,0.443291
SPG.csv,7496,121764,117406,0.240375
AMD.csv,10972,230292,180590,0.39825
KLAC.csv,10829,201402,177649,0.371208
NDAQ.csv,5344,88119,80321,0.168916
URI.csv,6481,112327,99816,0.211083
WHR.csv,12758,200225,214944,0.425125
RTX.csv,15474,276074,266402,0.554708
NXPI.csv,3304,47775,46411,0.099833
PNC.csv,12065,220463,200801,0.401
KMX.csv,6702,108217,103566,0.214583
SEDG.csv,2138,29238,28450,0.061792
WRK.csv,2076,27505,27182,0.068708
MTCH.csv,7724,123962,122044,0.24475
BIIB.csv,8064,130678,127414,0.268583
NVDA.csv,6207,96630,94925,0.2045
CHRW.csv,6525,108095,101281,0.238541
ROP.csv,7960,132654,126468,0.264625
IDXX.csv,8124,137199,127799,0.28475
EXC.csv,12709,243548,214017,0.447417
HES.csv,10972,180441,180526,0.369625
HD.csv,10589,180213,173228,0.375584
ALB.csv,7448,127944,117228,0.25125
VLO.csv,10518,191744,173115,0.368
AON.csv,10919,209360,178860,0.380958
ZTS.csv,2678,40146,36567,0.08425
FDX.csv,11460,229356,190191,0.415583
DG.csv,3486,49875,49289,0.104959
TYL.csv,10972,181359,179909,0.362
HIG.csv,6989,135694,109077,0.233959
CMS.csv,12758,267683,213186,0.507792
CAG.csv,10972,201396,178957,0.376625
INCY.csv,7523,119543,118416,0.248791
SCHW.csv,9072,140956,146499,0.304834
HSIC.csv,7018,115680,110182,0.235084
AZO.csv,8181,145374,129857,0.274916
AXP.csv,12938,238556,216505,0.4555
HPE.csv,1995,30991,25883,0.059208
DFS.csv,4097,74101,59602,0.130375
SEE.csv,10972,187609,179492,0.368958
HRL.csv,10972,198356,180598,0.367625
SO.csv,10519,168804,172324,0.360333
FRT.csv,12708,275942,213107,0.489709
ZBH.csv,5575,92296,84385,0.186125
CME.csv,5233,93098,78512,0.167291
XOM.csv,15537,274202,267119,0.534833
AMP.csv,4535,71022,66673,0.139625
CVX.csv,15537,289669,268074,0.526083
CMCSA.csv,10972,179766,180020,0.38375
PCG.csv,12938,280713,217467,0.485208
PNW.csv,12758,216030,214990,0.42625
ICE.csv,4491,75617,65718,0.140292
BEN.csv,10081,154745,164232,0.3465
UHS.csv,10641,182466,176881,0.364416
BKR.csv,9189,148288,148057,0.311875
EMN.csv,7496,123816,118138,0.262833
SBAC.csv,6107,102958,93928,0.210667
ROK.csv,10519,179230,173254,0.363417
PTC.csv,8511,156505,135930,0.302042
NRG.csv,4985,84920,74168,0.160125
NSC.csv,10414,175136,169755,0.360708
