Stock,Actual Comparisons,Theoretical Comparisons,Difference
CSCO.csv,114800,128970.62382043815,-14170.623820438152
UAL.csv,54592,61895.90956651317,-7303.909566513168
TROW.csv,127802,146006.99091633456,-18204.99091633456
ISRG.csv,75153,84885.45068490056,-9732.450684900556
NVR.csv,161534,149065.07926196998,12468.920738030021
TPR.csv,72956,83599.52152008611,-10643.521520086113
DVN.csv,138314,149065.07926196998,-10751.079261969979
CE.csv,55331,66088.91090095133,-10757.910900951334
MRO.csv,227394,255633.00994964258,-28239.009949642583
BA.csv,226857,255633.00994964258,-28776.009949642583
VRTX.csv,107152,122763.72433085492,-15611.724330854922
GILD.csv,100969,120604.82711812916,-19635.827118129164
EQIX.csv,71985,84242.22459116206,-12257.224591162056
TER.csv,205942,204885.63331828607,1056.366681713931
PODD.csv,47712,56832.65329637997,-9120.65329637997
MDT.csv,192355,204001.00200325545,-11646.002003255446
V.csv,44738,53479.147959680275,-8741.147959680275
QRVO.csv,24852,27538.78150134556,-2686.7815013455584
A.csv,75303,87281.46178151212,-11978.461781512116
FOX.csv,11989,12829.03816614664,-840.0381661466399
FLT.csv,39438,42751.77967439,-3313.7796743900035
MO.csv,254731,255633.00994964258,-902.0099496425828
CTRA.csv,111929,129074.04940633553,-17145.04940633553
SWKS.csv,155224,152901.01197117646,2322.9880288235436
ENPH.csv,31859,37813.07988933037,-5954.079889330373
MCHP.csv,103661,115600.03128699026,-11939.031286990255
CDNS.csv,123601,140762.3130398279,-17161.313039827888
MSCI.csv,47054,54798.951740319135,-7744.951740319135
CHTR.csv,44899,46425.98840479209,-1526.9884047920932
EIX.csv,172068,203982.95223108205,-31914.952231082047
KDP.csv,44039,52945.96426467117,-8906.964264671173
BBY.csv,125037,150202.56800369947,-25165.568003699475
GEN.csv,123648,131817.90570452405,-8169.905704524048
WBA.csv,142837,172897.36334483678,-30060.363344836776
LVS.csv,56179,66490.55912131457,-10311.559121314567
HCA.csv,36977,41865.392503537594,-4888.392503537594
AJG.csv,153927,153865.91385649794,61.08614350206335
DTE.csv,250452,255633.00994964258,-5181.009949642583
C.csv,175032,187320.19410291,-12288.194102909998
T.csv,136387,156430.2458728134,-20043.245872813393
CF.csv,52773,63844.635425496344,-11071.635425496344
MGM.csv,141769,136837.43584889566,4931.564151104336
HUM.csv,142356,164872.8506268706,-22516.85062687061
