File Count,Total Volume,Actual Comparisons,Estimated Theoretical Comparisons
236,1936322,82220600,79416371
237,1949080,82864938,79972734
238,1960052,83401336,80450949
239,1967575,83755020,80779293
240,1976647,83955770,81174379
241,1983665,84459050,81480899
242,1991846,84798766,81837292
243,2004784,85378960,82402164
244,2006779,83304206,82488733
245,2010876,84724354,82667909
246,2021848,86144786,83146171
247,2032820,86649876,83625505
248,2043339,86979728,84084738
249,2056047,87609770,84639329
250,2061622,87577732,84883206
251,2066855,87904428,85111020
252,2082392,88446044,85789855
253,2086927,88815836,85987866
254,2102464,89727198,86670631
255,2113436,90263042,87156912
256,2126374,90840118,87732674
257,2139132,91411322,88299238
258,2143623,90347852,88498596
259,2153704,92153108,88946687
260,2164345,92640842,89420265
261,2173534,93067748,89828571
262,2181030,93386794,90162422
263,2187137,93727384,90434332
264,2197656,94172662,90902375
265,2206167,94551076,91282045
266,2211152,94606106,91503902
267,2221566,95245786,91967304
268,2232358,94734872,92448836
269,2237957,96122920,92698133
270,2240709,96194870,92820606
271,2247349,96547776,93116691
272,2258321,97045742,93606054
273,2269293,97544502,94095554
274,2271417,97001126,94190359
275,2274274,97772864,94317532
276,2286449,98279752,94861359
277,2292867,98141854,95147484
278,2295871,98355836,95281011
279,2308629,99327656,95851344
280,2315133,99640578,96141854
281,2326105,100157852,96632137
282,2341642,100862572,97326316
283,2348141,101233646,97617147
284,2363678,101836406,98311334
285,2376386,102488664,98879689
286,2384280,102844398,99232709
287,2389305,103060828,99457717
288,2397179,103267158,99810147
289,2409923,104049178,100380743
290,2418480,104505228,100763934
291,2429452,104990576,101255112
292,2439112,105444162,101687659
293,2451870,106032894,102259404
294,2462842,106555990,102751189
295,2475780,107163980,103331320
296,2476870,104755068,103380143
297,2483878,107476512,103694446
298,2490015,107002726,103969539
299,2505552,108516816,104666569
300,2521089,109233412,105363646
301,2524996,106403550,105539054
302,2532270,109584382,105865164
303,2545028,110374734,106438407
304,2555144,110887970,106892084
305,2557955,109481456,107018213
306,2562696,111254568,107231137
307,2569431,111565238,107534115
308,2576866,111918366,107867656
309,2592403,112505746,108565716
310,2597257,112485672,108784492
311,2612794,113529568,109482015
312,2615941,113744500,109623526
313,2620202,113819212,109815556
314,2627833,114098972,110157929
315,2640771,114876250,110739632
316,2646468,115176134,110996270
317,2651838,112560628,111237999
318,2662810,115906964,111731585
319,2673782,116418420,112224925
320,2684754,116878500,112719021
321,2697512,117483042,113293463
322,2700731,117693000,113438128
323,2711703,118185422,113932329
324,2720818,118596836,114342430
325,2726418,118865188,114594542
326,2739176,119451426,115169565
327,2749252,119930312,115623699
328,2755760,120041340,115916963
329,2766732,120739908,116411265
330,2777704,118534474,116905951
331,2788676,121780618,117400648
332,2795938,121935708,117727700
333,2803388,122492862,118064104
334,2814360,122954740,118558017
335,2825332,123481446,119053389
336,2835371,123959216,119506118
337,2836576,122240140,119560690
338,2839907,118998390,119711206
339,2844998,124431484,119940354
340,2855013,124834452,120392410
341,2865532,124567040,120867417
342,2876810,125895020,121376646
343,2882290,125719032,121623511
344,2889556,126503382,121951771
345,2902314,127071332,122527337
346,2913286,127554994,123023194
347,2920139,127924672,123332926
348,2931111,128438758,123828761
349,2937123,128113048,124100179
350,2948095,129217024,124595764
351,2955221,129576774,124917792
352,2967809,130114204,125486652
353,2972615,124399518,125703918
354,2983358,130780288,126190057
355,2985698,128873112,126295451
356,2995798,131386536,126752125
357,3006770,131898128,127248526
358,3013913,132009306,127570846
359,3019737,132518924,127834828
360,3022591,126658098,127963681
361,3027118,131370610,128168376
362,3034285,133120856,128492219
363,3041749,133516420,128830544
364,3054507,134123864,129407675
365,3055649,130255292,129459229
366,3062682,134538858,129777239
367,3064948,134597344,129880048
368,3071063,134605178,130157109
369,3082035,135392790,130653629
370,3094793,135970958,131230778
371,3099544,136236680,131446281
372,3105894,135621748,131734100
373,3116413,136997806,132209864
374,3124072,137408574,132556124
375,3131139,137728096,132876661
376,3138795,138089768,133223678
377,3145368,138357358,133521162
378,3153320,138628420,133881159
379,3158126,132920054,134098746
380,3161050,139095236,134231546
381,3172021,139595986,134728452
382,3178567,137614992,135025020
383,3189539,140431106,135522059
384,3194006,140424576,135724408
385,3206944,139176582,136310932
386,3210500,140767408,136471740
387,3221472,141917376,136969456
388,3229653,142321706,137340595
389,3242362,142540504,137916552
390,3253334,143356468,138414131
391,3263373,143103066,138869740
392,3272441,144267984,139280229
393,3276679,143348042,139473158
394,3286828,144563566,139933088
395,3290925,143534180,140119150
396,3300460,145598960,140552110
397,3311432,145914338,141049119
398,3317317,146313054,141317093
399,3328289,146902566,141814079
400,3334637,146839920,142103218
401,3346934,147760956,142660600
402,3347818,143079666,142700952
403,3356175,148217580,143080261
404,3364177,145365696,143443551
405,3367551,146276210,143596512
406,3378523,148666380,144095474
407,3389495,149782300,144592449
408,3399102,149182356,145029534
409,3410126,150260420,145530530
410,3411852,149617338,145608553
411,3419553,149572878,145958269
412,3432311,151773622,146537143
413,3443144,152284288,147029553
414,3455852,152880336,147607158
415,3466824,153375996,148105577
416,3469126,151353810,148210471
417,3480098,154016294,148709501
418,3481831,151813072,148787766
419,3489758,154467934,149148199
420,3500729,154955604,149646630
421,3504855,149903334,149834881
422,3516039,155678270,150342789
423,3528797,156270552,150923192
424,3539769,156339070,151421873
425,3550580,152139770,151913292
426,3563338,157886922,152493584
427,3570935,158249006,152839348
428,3576451,157493460,153089769
429,3579138,157922258,153212572
430,3590110,159124462,153711236
431,3600249,159637172,154172409
432,3611221,160119152,154671703
433,3621032,160144700,155118361
434,3626512,158254952,155368253
435,3637484,161312660,155866773
436,3643089,161606138,156121815
437,3653608,161807874,156600488
438,3661190,162473632,156945559
439,3668211,162735684,157264700
440,3681003,163290488,157847866
441,3685364,158466082,158046295
442,3700901,164222306,158753346
443,3702341,160763806,158819070
444,3709624,164687442,159150689
445,3712207,161152444,159268837
446,3718861,165108720,159571453
447,3726982,165392938,159940555
448,3737501,163713276,160420460
449,3748472,166320330,160920021
450,3761230,167038418,161500775
451,3771979,159648108,161990522
452,3784737,168171908,162571219
453,3785621,164567132,162612014
454,3786042,164034920,162631147
455,3792037,168526858,162904670
456,3804745,169096028,163483658
457,3815717,169577714,163983357
458,3821448,169786498,164245110
459,3827920,170108056,164539531
460,3832011,166657272,164725720
461,3834471,168122864,164838386
462,3841658,170505626,165165962
463,3849544,171201304,165525159
464,3860516,171724254,166025507
465,3864652,170485860,166213683
466,3877530,172326616,166801381
467,3884536,171938440,167120218
468,3892552,173222556,167485632
469,3903116,172541050,167966940
470,3914897,174227096,168504545
471,3923937,174677510,168917213
472,3926183,173825780,169019386
473,3939121,174949346,169609473
474,3949922,175891346,170102329
475,3955184,175970720,170342123
476,3966156,176645076,170841999
477,3977128,177146738,171343234
478,3988100,177639106,171843811
479,3994050,177933986,172114861
480,4001166,178301408,172439462
481,4007522,176344744,172729802
482,4018494,179082362,173230644
483,4024342,179341704,173497640
484,4034249,178477358,173949391
485,4046314,180392336,174499933
486,4053203,180680888,174814547
487,4064175,181133606,175315310
488,4079712,181913180,176024745
489,4090169,181421256,176501718
490,4091305,175533998,176553693
491,4093882,182244292,176671260
492,4106640,183225848,177254111
493,4122177,183878700,177963284
494,4131059,184385398,178368760
495,4142031,184837150,178870055
496,4146877,180653584,179091055
497,4157849,185608944,179591998
498,4164857,185852044,179912291
499,4173500,186370530,180306838
500,4181081,186640086,180654382
501,4191007,187178540,181106590
502,4197039,187439070,181383788
503,4208011,187960666,181893425
