File Count,Total Volume,Actual Comparisons,Estimated Theoretical Comparisons,Sorting Time (ms)
174,1396857,91464035,36614875,101.067583
175,1409615,89635446,36916336,99.685458
176,1420934,83036555,37225302,93.815417
177,1423003,90572758,37223318,105.272
178,1435761,83463501,37662794,93.853625
179,1441765,92321519,37924233,102.440959
180,1447276,96236684,37752325,107.187292
181,1460214,91710203,38334040,101.699334
182,1469672,93959089,38616198,109.92675
183,1476532,99626044,38822542,110.174458
184,1486637,98506977,39181831,109.124208
185,1497622,95704026,39502206,105.4395
186,1508594,90302810,39677778,100.2385
187,1510896,100020375,39816083,110.129375
188,1521868,97178668,40195890,107.99
189,1531742,97054153,40548681,108.022041
190,1539287,103040906,40679438,113.71625
191,1552225,100784572,41042221,110.803125
192,1557804,102839221,41179604,113.938041
193,1564257,105444173,41347890,117.527958
194,1570167,103256567,41462206,115.900458
195,1574611,107249998,41668606,118.078291
196,1578492,105870922,41729026,117.972208
197,1588743,105029891,41848076,115.639667
198,1599715,106285876,42293275,117.73425
199,1615252,100245035,42830065,111.716
200,1626224,105986282,43116707,116.12575
201,1635337,92426562,43148761,107.310959
202,1642787,107764447,43690284,119.957375
203,1655545,106110545,43965602,118.065167
204,1663076,101783792,44060277,111.731709
205,1675834,101430153,44506290,113.420125
206,1684401,111478733,44690108,122.806958
207,1697339,105330978,45182953,117.582959
208,1704835,106581787,45218736,123.893166
209,1715807,107806005,45559265,122.138833
210,1726636,112077011,45965966,124.33825
211,1731980,110881771,46165341,120.417584
212,1738461,115913617,46106798,128.301709
213,1751219,115802952,46415112,129.012667
214,1766693,102256841,46966639,115.24825
215,1769997,117848289,47052954,130.025958
216,1782062,112597829,47424106,125.547625
217,1788764,116689257,47647083,128.593166
218,1790902,117813191,47904221,130.957458
219,1792978,116288653,47696374,127.43025
220,1800702,113585631,48167379,124.5505
221,1808766,122287970,48282077,134.035792
222,1814973,115620590,48483802,134.211542
223,1821498,122893764,48533778,136.494166
224,1829458,122465148,48724734,134.228417
225,1837582,124143343,48971465,137.249084
226,1850291,106928978,49512538,121.234083
227,1861263,121625204,49667537,135.502709
228,1871852,124129025,49873238,136.737958
229,1879300,114108971,50342041,126.059041
230,1889818,110312371,50638946,124.977333
231,1900737,126136287,50956791,139.986333
232,1903415,126925139,50874953,141.405167
233,1914875,110689800,51321961,125.7165
234,1918361,121815045,51352515,134.363083
235,1929333,125772287,51705725,139.651125
236,1936322,130371689,51912551,145.178958
237,1949080,117679424,52385800,132.616959
238,1960052,121535301,52543687,135.035667
239,1967575,125449847,52573192,138.137083
240,1976647,124641463,52920544,138.647375
241,1983665,134687216,53366594,148.013583
242,1991846,136284231,53665257,150.839417
243,2004784,133586323,54016714,147.254583
244,2006779,130706912,54144437,143.592
245,2010876,135585011,54244022,153.098959
246,2021848,127590170,54370493,142.028667
247,2032820,126440423,54850323,140.532709
248,2043339,130420018,55073598,144.801583
249,2056047,130429354,55607743,143.637
250,2061622,138457160,55742434,154.47525
251,2066855,139238061,55868342,153.850875
252,2082392,123479423,56043796,140.161167
253,2086927,142875244,56145623,158.126417
