Stock Count,Total Volume,Time (ms)
302,2532270,75.67775
303,2545028,75.849916
304,2555144,76.288959
305,2557955,76.022375
306,2562696,77.27725
307,2569431,79.765125
308,2576866,78.005875
309,2592403,79.236541
310,2597257,78.4695
311,2612794,79.096791
312,2615941,77.568042
313,2620202,77.343333
314,2627833,79.582708
315,2640771,81.485584
316,2646468,82.151917
317,2651838,81.983166
318,2662810,82.756584
319,2673782,83.608041
320,2684754,82.722625
321,2697512,86.243208
322,2700731,85.779542
323,2711703,88.246833
324,2720818,89.527708
325,2726418,85.924166
326,2739176,111.704875
327,2749252,124.32775
328,2755760,91.909417
329,2766732,114.708917
330,2777704,95.358416
331,2788676,89.576458
332,2795938,89.086917
333,2803388,87.882708
334,2814360,88.551375
335,2825332,89.067875
336,2835371,88.488375
337,2836576,89.693833
338,2839907,90.657959
339,2844998,89.471125
340,2855013,90.809375
341,2865532,90.731917
342,2876810,90.541291
343,2882290,90.359166
344,2889556,89.985916
345,2902314,90.862083
346,2913286,90.708958
347,2920139,91.47225
348,2931111,90.635833
349,2937123,89.427
350,2948095,89.446792
351,2955221,90.477542
352,2967809,90.913208
353,2972615,94.202167
354,2983358,92.76975
355,2985698,95.986542
356,2995798,97.138375
357,3006770,97.852792
358,3013913,97.72525
359,3019737,95.432458
360,3022591,94.512541
361,3027118,93.969333
362,3034285,94.21125
363,3041749,94.76825
364,3054507,94.471417
365,3055649,93.547
366,3062682,92.714709
367,3064948,93.326042
368,3071063,93.752208
369,3082035,94.068416
370,3094793,95.454417
371,3099544,96.881
372,3105894,95.682167
373,3116413,95.053834
374,3124072,98.321833
375,3131139,97.371042
376,3138795,96.331584
377,3145368,95.31475
378,3153320,97.530625
379,3158126,96.659791
380,3161050,96.754667
381,3172021,97.747541
382,3178567,98.536458
383,3189539,98.501083
384,3194006,97.44475
385,3206944,97.032875
386,3210500,97.24325
387,3221472,100.035542
388,3229653,100.325584
389,3242362,100.3655
390,3253334,103.495083
391,3263373,103.328959
392,3272441,103.768791
393,3276679,101.821125
394,3286828,108.967833
395,3290925,104.531416
396,3300460,105.645292
397,3311432,104.2105
398,3317317,103.445541
399,3328289,104.264083
400,3334637,103.768042
401,3346934,104.345375
402,3347818,104.672167
403,3356175,104.962375
404,3364177,105.156042
405,3367551,105.175459
406,3378523,105.424542
407,3389495,107.641542
408,3399102,107.214916
409,3410126,119.610625
410,3411852,111.312458
411,3419553,107.606791
412,3432311,119.425042
413,3443144,116.671833
414,3455852,110.144875
415,3466824,111.094584
416,3469126,111.663
417,3480098,112.279959
418,3481831,110.472041
419,3489758,109.235
420,3500729,111.005125
421,3504855,110.419583
422,3516039,111.0765
423,3528797,110.5
424,3539769,113.987459
425,3550580,111.179209
426,3563338,112.038875
427,3570935,113.957
428,3576451,114.300917
429,3579138,111.905917
430,3590110,159.402292
431,3600249,123.304833
432,3611221,122.003792
433,3621032,116.788083
434,3626512,116.2585
435,3637484,114.906959
436,3643089,115.84125
437,3653608,116.414917
438,3661190,116.149417
439,3668211,115.241834
440,3681003,145.643792
441,3685364,116.653292
442,3700901,117.061667
443,3702341,118.602458
444,3709624,118.625167
445,3712207,116.888167
446,3718861,117.238125
447,3726982,117.6555
448,3737501,118.170416
449,3748472,119.4315
450,3761230,119.845875
451,3771979,119.417
452,3784737,124.214
453,3785621,121.506667
454,3786042,146.111375
455,3792037,123.475667
456,3804745,126.621125
457,3815717,127.220333
458,3821448,123.740125
459,3827920,122.870292
460,3832011,155.1485
461,3834471,151.02025
462,3841658,127.717125
463,3849544,125.840833
464,3860516,123.931209
465,3864652,123.151833
466,3877530,123.578
467,3884536,125.607334
468,3892552,124.846792
469,3903116,124.485084
470,3914897,124.521084
471,3923937,162.160208
472,3926183,126.946541
473,3939121,129.20525
474,3949922,137.493542
475,3955184,132.73125
476,3966156,138.255
477,3977128,132.411375
478,3988100,128.67525
479,3994050,147.028
480,4001166,150.070042
481,4007522,137.204333
482,4018494,135.658792
483,4024342,131.522375
484,4034249,132.051333
485,4046314,132.474833
486,4053203,132.951458
487,4064175,133.129625
488,4079712,133.953667
489,4090169,132.512208
490,4091305,161.449166
491,4093882,135.0545
492,4106640,161.900208
493,4122177,135.920167
494,4131059,149.917084
495,4142031,138.913209
496,4146877,137.400875
497,4157849,166.631
498,4164857,152.941459
499,4173500,141.682083
500,4181081,136.064458
501,4191007,170.056792
502,4197039,137.233792
503,4208011,139.067541
