Stock Count,Total Volume,Actual Comparisons,Theoretical Comparisons,Difference,Time (ms)
1,8463,128567,128970.62382043815,-403.6238204381516,1.026708
2,12900,1178303,207451.3788957278,970851.6211042722,5.206834
3,22345,2953701,383873.93178586924,2569827.0682141306,4.2095
4,28198,12392551,497537.5975138518,1.1895013402486147E7,7.485875
5,37818,50319249,689467.2365431128,4.962978176345689E7,21.767416
6,43593,17256281,807136.756724561,1.644914424327544E7,10.5905
7,53213,4208287,1006466.706591893,3201820.293408107,3.41775
8,57912,34640110,1105140.5519383277,3.353496944806167E7,20.45925
9,73449,4879057,1436534.3218180372,3442522.678181963,4.192541
10,88986,12684585,1774549.738860193,1.0910035261139806E7,9.007791
11,97088,24273222,1953033.6483671928,2.2320188351632807E7,15.878208
12,105064,227632432,2130064.46405036,2.2550236753594965E8,136.11575
13,110878,111732557,2259877.5160280624,1.0947267948397194E8,62.422458
14,123636,23754523,2546829.1142293094,2.120769388577069E7,15.196542
15,127754,98123826,2640026.63061076,9.548379936938924E7,55.922542
16,140463,168845089,2929291.5605411665,1.6591579743945885E8,99.387708
17,144368,1165774217,3018643.8007694385,1.1627555731992307E9,635.719083
18,146563,554748852,3068961.7835789337,5.51679890216421E8,318.446375
19,152561,575900554,3206791.7875647037,5.726937622124352E8,328.479375
20,153702,103906541,3233065.1589065394,1.0067347584109347E8,59.159625
21,156915,119749414,3307140.275747738,1.1644227372425227E8,67.756542
22,172452,740149445,3667152.85353616,7.364822921464639E8,429.709
23,180921,18641634,3864586.6594730653,1.4777047340526935E7,13.046417
24,190760,48059590,4094951.969996088,4.396463803000391E7,28.589292
25,193648,52370097,4162765.1713082385,4.820733182869176E7,31.561416
26,201331,428685518,4343585.824861818,4.243419321751382E8,249.614
27,210475,108528652,4559553.806572875,1.0396909819342713E8,62.9155
28,214464,189717943,4654019.124772813,1.8506392387522718E8,106.265125
29,217916,125453043,4735887.352390077,1.2071715564760992E8,71.932417
30,230624,195486133,5038201.730570329,1.9044793126942968E8,113.804833
31,234495,119294053,5130571.981470513,1.1416348101852949E8,67.047167
32,244180,61733786,5362231.828843221,5.637155417115678E7,38.38225
33,252808,376890576,5569256.850171274,3.7132131914982873E8,220.677417
34,263780,37934699,5833373.166359511,3.210132583364049E7,24.921083
35,268504,106921578,5947371.894535434,1.0097420610546456E8,61.566416
36,271659,1233033811,6023600.5382132,1.2270102104617867E9,705.897792
37,281553,339491211,6263122.933984074,3.332280880660159E8,192.754125
38,297090,438720321,6640650.113403081,4.320796708865969E8,241.749708
39,308871,97275332,6927999.817769199,9.03473321822308E7,59.344458
40,318911,368649541,7173595.522595526,3.614759454774045E8,214.624
41,323470,1162651942,7285326.397544566,1.1553666156024554E9,665.298334
42,332388,56464177,7504256.4397739945,4.895992056022601E7,35.818292
43,342907,250736425,7763103.887825696,2.429733211121743E8,141.953667
44,346248,365725348,7845453.882502495,3.578798941174975E8,205.8855
45,348512,798543474,7901294.329992589,7.906421796700075E8,447.510708
46,356538,233609678,8099487.307758505,2.255101906922415E8,134.808667
47,369243,146813411,8413958.354111748,1.3839945264588824E8,86.863875
48,384780,666212844,8799711.739553059,6.574131322604469E8,386.078958
49,391881,231397663,8976436.537490482,2.224212264625095E8,134.343
50,402853,247770768,9250004.406834865,2.3852076359316513E8,140.058666
