File Name,Array Size,Actual Comparisons,Estimated Theoretical Comparisons
SHW.csv,10972,288718,286596
HPQ.csv,15537,428310,420792
AMAT.csv,10972,286828,286626
CCL.csv,9113,236838,232862
MLM.csv,7450,188062,186043
AVY.csv,12758,344594,338828
ATVI.csv,7531,188774,188315
EVRG.csv,12758,344206,338814
EA.csv,8567,217206,217236
DE.csv,12938,349244,344109
SPG.csv,7496,188924,187336
AMD.csv,10972,291366,286609
KLAC.csv,10829,283052,282448
NDAQ.csv,5344,127024,128508
URI.csv,6481,161224,159440
WHR.csv,12758,344456,338823
RTX.csv,15474,424860,418931
NXPI.csv,3304,75308,74873
PNC.csv,12065,323454,318506
KMX.csv,6702,165918,165476
SEDG.csv,2138,45862,45644
WRK.csv,2076,44310,44135
MTCH.csv,7724,191940,193634
BIIB.csv,8064,202392,203032
NVDA.csv,6207,149038,151937
CHRW.csv,6525,161954,160636
ROP.csv,7960,201330,200160
IDXX.csv,8124,202422,204700
EXC.csv,12709,343032,337366
HES.csv,10972,290474,286624
HD.csv,10589,275440,275465
ALB.csv,7448,188344,186022
VLO.csv,10518,276490,273423
AON.csv,10919,288614,285042
ZTS.csv,2678,57494,59068
FDX.csv,11460,304042,300846
DG.csv,3486,79170,79478
TYL.csv,10972,289694,286612
HIG.csv,6989,175102,173360
CMS.csv,12758,344676,338804
CAG.csv,10972,291204,286595
INCY.csv,7523,189992,188081
SCHW.csv,9072,234672,231708
HSIC.csv,7018,172690,174162
AZO.csv,8181,205192,206267
AXP.csv,12938,344536,344067
HPE.csv,1995,41116,42216
DFS.csv,4097,92228,95107
SEE.csv,10972,289754,286605
HRL.csv,10972,290676,286610
SO.csv,10519,277220,273436
FRT.csv,12708,336300,337359
ZBH.csv,5575,133690,134735
CME.csv,5233,122988,125481
XOM.csv,15537,427064,420778
AMP.csv,4535,104192,106730
CVX.csv,15537,426484,420784
CMCSA.csv,10972,290870,286619
PCG.csv,12938,349294,344118
PNW.csv,12758,344470,338814
ICE.csv,4491,102172,105575
BEN.csv,10081,263452,260776
UHS.csv,10641,278218,277021
BKR.csv,9189,239302,235030
EMN.csv,7496,188784,187341
SBAC.csv,6107,149398,149232
ROK.csv,10519,276586,273422
PTC.csv,8511,215598,215623
NRG.csv,4985,119362,118803
NSC.csv,10414,272792,270396
NKE.csv,10792,279590,281357
FIS.csv,5599,136922,135388
FANG.csv,2752,62028,60928
VTR.csv,6640,166000,163807
MAS.csv,10972,291420,286582
RF.csv,10972,290464,286589
ETSY.csv,2124,45846,45320
AMCR.csv,2857,39564,63537
TAP.csv,12175,326920,321726
MAR.csv,6418,157890,157734
XYL.csv,3004,66866,67261
CMI.csv,12758,343726,338798
MTD.csv,6504,159776,160075
BF-B.csv,10972,288230,286594
KR.csv,15537,427196,420776
PLD.csv,6499,162466,159931
IBM.csv,15537,424470,420801
USB.csv,12708,340004,337335
BSX.csv,7894,200782,198337
LKQ.csv,5025,120560,119883
LIN.csv,7874,198614,197775
ITW.csv,12744,343400,338404
EOG.csv,8557,218792,216968
KMB.csv,10972,289622,286601
PEAK.csv,9660,251898,248617
SPGI.csv,12758,343278,338797
NEM.csv,10972,291658,286593
WFC.csv,12938,349020,344092
CTVA.csv,1090,20620,21171
EL.csv,7008,173762,173909
GS.csv,6137,149410,150045
GD.csv,15537,423600,420800
CNP.csv,15537,426254,420755
PM.csv,3907,87830,90254
MCO.csv,7274,179028,181211
CLX.csv,12758,342946,338810
CAH.csv,10116,264902,261780
PANW.csv,2811,62288,62402
MPWR.csv,4741,112152,112255
DGX.csv,6735,166034,166402
AVB.csv,7435,187518,185661
DIS.csv,15537,425570,420805
CBRE.csv,4854,113772,115290
GE.csv,15537,425860,420788
HII.csv,3147,70408,70878
LDOS.csv,4261,98982,99458
ALL.csv,7631,191250,191059
ETN.csv,12938,349462,344106
ALGN.csv,5697,139184,138054
NFLX.csv,5370,128158,129185
LEN.csv,10972,290396,286624
FITB.csv,10972,288438,286579
WST.csv,10972,289138,286610
GWW.csv,12758,344094,338838
TRGP.csv,3219,73710,72686
NTRS.csv,10972,289308,286592
FICO.csv,9115,225014,232923
AXON.csv,5600,133026,135427
CVS.csv,12758,344420,338789
AOS.csv,10076,262378,260608
FE.csv,6508,163002,160178
JPM.csv,10972,290528,286601
ABT.csv,10972,287256,286616
OMC.csv,10972,290040,286632
COF.csv,7262,182216,180869
TSCO.csv,7450,186296,186061
PH.csv,10972,290646,286605
HST.csv,10972,290628,286594
JBHT.csv,10039,261558,259516
MRNA.csv,1205,23772,23778
TSLA.csv,3331,76356,75533
MOH.csv,5091,122690,121665
ATO.csv,10015,262606,258822
COP.csv,10519,276622,273418
DHR.csv,11278,299094,295520
CNC.csv,5480,133462,132172
MCK.csv,7266,181454,181015
TXT.csv,12758,344098,338803
MTB.csv,10972,288006,286597
FDS.csv,6853,169738,169623
VTRS.csv,10972,290348,286613
AKAM.csv,6012,145546,146649
ROL.csv,10972,284728,286600
RMD.csv,7126,176514,177162
WRB.csv,12588,329480,333812
GOOGL.csv,4806,108262,113992
BRO.csv,10743,254496,279949
ANET.csv,2340,50420,50651
PAYX.csv,10100,262512,261340
ALK.csv,10972,290280,286591
DRI.csv,7143,178564,177602
ILMN.csv,5824,141894,141500
META.csv,2854,61662,63476
AAL.csv,4527,107368,106550
COR.csv,7167,176974,178273
MAA.csv,7464,189026,186458
MMC.csv,12758,344556,338810
FOXA.csv,1142,21708,22345
POOL.csv,7033,172662,174588
CZR.csv,2266,49636,48818
FFIV.csv,6115,146966,149445
CINF.csv,10972,289938,286618
VMC.csv,12758,342900,338820
MKTX.csv,4751,113382,112535
SRE.csv,6350,157244,155867
LHX.csv,10519,275954,273431
ORLY.csv,7659,193406,191855
IVZ.csv,7067,177602,175524
RCL.csv,7656,194078,191780
PXD.csv,6573,163880,161951
SNPS.csv,7952,198350,199944
GOOG.csv,4806,108318,113986
