File Count,Total Volume,Actual Comparisons,Estimated Theoretical Comparisons,Sorting Time (ms)
1,8463,147009,148216,0.387375
2,12900,126345,226317,0.289833
3,22345,246482,408873,0.693833
4,28198,245476,522372,0.608583
5,37818,353147,731494,0.789667
6,43593,359015,842607,0.765792
7,53213,479146,1037850,0.976625
8,57912,443352,1136634,0.838875
9,73449,737495,1493139,1.51575
10,88986,837676,1806558,1.790917
11,97088,792417,1973030,1.48875
12,105064,855289,2156062,1.559542
13,110878,865290,2277050,1.51475
14,123636,1054360,2551404,2.112958
15,127754,958823,2637811,1.6275
16,140463,1269496,3011106,2.324583
17,144368,1170429,3084799,1.96375
18,146563,1160642,3127298,1.838666
19,152561,1250263,3253918,2.148792
20,153702,1197862,3276915,1.878791
21,156915,1244347,3343495,2.003375
22,172452,1536440,3683342,2.921791
23,180921,1500446,3865541,2.595791
24,190760,1580995,4068462,2.769334
25,193648,1496303,4130035,2.406541
26,201331,1663165,4344604,2.782375
27,210475,1737588,4529074,3.063292
28,214464,1693621,4621830,2.85525
29,217916,1711790,4691182,2.804167
30,230624,1952492,4989201,3.442791
31,234495,1841317,5065977,3.214667
32,244180,1984085,5272532,3.443083
33,252808,2026218,5467251,3.471042
34,263780,2387413,5965175,3.962625
35,268504,2310755,6051234,3.871084
36,271659,2308868,6113766,3.626
37,281553,2465029,6314046,4.094083
38,297090,2653009,6653558,4.673041
39,308871,2685965,6888783,4.511333
40,318911,2730444,7103852,4.6695
41,323470,2687561,7201799,4.80875
42,332388,2855725,7444690,4.842458
43,342907,2942800,7657371,4.974042
44,346248,2858696,7736844,4.566083
45,348512,2868999,7783431,4.58375
46,356538,3005927,7953870,4.961875
47,369243,3176381,8248102,5.268167
48,384780,3318892,8587724,5.633667
49,391881,3232009,8748699,5.356375
50,402853,3466573,9094570,5.876041
51,403446,3329849,9106190,5.298292
52,411881,3490812,9289761,5.831834
53,424639,3644337,9557969,5.979625
54,437397,3733142,9850441,6.133209
55,440277,3613289,9912651,6.001084
56,445984,3688788,10044354,6.496459
57,456956,3852104,10288823,6.54375
58,465677,3904448,10529770,7.251834
59,472634,3931156,10679353,6.45425
60,475245,3886965,10750263,6.219542
61,482621,4011839,10903003,7.264208
62,487204,3994266,11005803,6.61875
63,500142,4222693,11321142,7.057083
64,508080,4209660,11510557,7.302166
65,518599,4319564,11746364,7.253209
66,524168,4274379,11876199,7.609917
67,528647,4780154,12478750,7.705208
68,539619,4929599,12688498,7.869959
69,552557,5048937,12954698,8.067667
70,561909,5085754,13168332,8.65025
71,568660,5085365,13303797,8.708666
72,576091,5157064,13468204,8.543625
73,580502,5134654,13556162,8.58275
74,591474,5304591,13850268,9.101666
75,595478,5273134,13926240,8.658125
76,602102,5346676,14059858,8.782666
77,613074,5478914,14295502,9.134542
78,613171,5334520,14297407,8.991458
79,620850,5492647,14463164,9.0835
80,631822,5618820,14720498,9.627375
81,635248,5543312,14792627,9.031458
82,648186,5767214,15083898,9.722125
83,659210,5883194,15441304,9.958167
84,662035,5816832,15497844,9.656125
85,674973,6042291,15772331,10.791708
86,684350,6060440,15970911,10.479625
87,691877,6081770,16152753,10.162292
88,694460,6042234,16206287,9.966041
89,705432,6234114,16453627,10.637833
90,711036,6194864,16571368,10.172875
91,717196,6248196,16711336,10.361458
92,725282,6327522,16942975,10.875583
93,736254,6484895,17174358,11.091792
94,749012,6592017,17462758,11.139166
95,753953,6517389,17604881,10.874875
96,759856,6581128,17727533,10.719
97,761673,6534354,17765345,10.634833
98,766429,6606436,17875412,10.8445
99,773483,6696887,18040721,11.126459
100,782583,6791365,18255786,11.695708
101,791677,7078059,18701270,11.48225
102,800809,7123392,18887256,11.772792
103,813567,7265003,19161546,12.571833
104,816648,7148184,19227372,11.926334
105,820803,7193690,19342258,11.753542
106,831775,7379734,19573528,12.986917
107,847312,7555576,19919101,12.291875
108,852542,7432074,20099485,12.186083
109,863061,7626602,20315119,13.119
110,869670,7612013,20468671,12.628208
111,871739,7561628,20510414,12.394333
112,882711,7764417,20755187,12.759291
113,883410,7612776,20769332,12.656959
114,894434,7845301,21038479,13.090541
115,896911,7746435,21092091,13.365167
116,899610,7764138,21153779,12.377458
117,900971,7752760,21184131,12.761625
118,910430,7929458,21412256,13.029083
119,923188,8180817,21815574,14.281417
120,936126,8272279,22104310,14.255209
121,942415,8203411,22243869,13.801791
122,950282,8281241,22446494,14.080541
123,951883,8224216,22477460,13.905791
124,958317,8331753,22613740,13.928209
125,966005,8400984,22789070,13.9805
126,970838,8388096,22910299,14.151084
127,973214,8374614,22960532,14.234417
128,984186,8602876,23277010,14.319041
129,999723,8793441,23632634,15.213125
130,1015260,8903867,23985498,15.247833
131,1023297,8823727,24193137,14.596208
132,1037699,9042353,24542041,15.667959
133,1047222,9033837,24774376,15.604167
134,1053854,10037275,25947588,16.115959
135,1054046,9958836,25950062,15.921208
136,1061087,10087940,26087382,16.132041
137,1072059,10218100,26308261,16.113166
138,1084767,10321454,26591406,16.441
139,1095286,10380505,26804684,16.9105
140,1108044,10497114,27080523,17.194584
